record_id,source_id,source_short,alloy,heat,material_family,product_form,is_weld,zone,weld_process,filler_metal,ferrite_number,hydrogen_exposure,h2_pressure_MPa,hydrogen_content_wppm,charging_time_h,test_temperature_K,test_temperature_C,strain_rate_per_s,test_type,property_name,reference_environment,property_reference,property_h2,relative_ratio,embrittlement_flag,ni_equivalent,derived,verified,notes
CASKEY-T6-2-PS,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,plastic strain to failure,uncharged,0.24,0.13,0.542,significant loss,,relative_ratio,no,"Caskey Table 6, notched specimen; reference = annealed in argon Composition from Caskey Table A-1 (nominal)."
CASKEY-T6-2-TS,S1,Caskey 1983,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,,295.0,21.9,,tensile,notched tensile strength,uncharged,710,580,0.817,moderate loss,,relative_ratio,no,"Caskey Table 6, notched specimen; reference = annealed in argon Composition from Caskey Table A-1 (nominal)."
SAND-2101-T3111-1,S2,San Marchi 2012,304L,W69,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,0.00067,tensile,reduction of area,helium,78.0,71.0,0.91,moderate loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Annealed; external 69 MPa H2 vs 69 MPa He. Ref [15,23]."
SAND-2101-T3111-2,S2,San Marchi 2012,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,34.0,,24.0,295.0,21.9,,tensile,reduction of area,air,60.0,46.0,0.767,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Held at test pressure 24 h before loading. Ref [15]."
SAND-2101-T3111-3,S2,San Marchi 2012,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,24.0,295.0,21.9,,tensile,reduction of area,air,60.0,44.0,0.733,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Held at test pressure 24 h before loading. Ref [15]."
SAND-2101-T3111-4,S2,San Marchi 2012,304L,O76,300-series (304 type),plate,no,base metal,,,,gaseous precharge,69.0,55.0,240.0,295.0,21.9,0.003,tensile,reduction of area,air,77.0,32.0,0.416,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Annealed plate; precharged 24.1 MPa H2, 473 K, 240 h (55 wppm surface) then tested in 69 MPa H2. Ref [5]."
SAND-2101-T3111-5,S2,San Marchi 2012,304L,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,81.0,33.0,0.407,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. 69 MPa H2 vs 69 MPa He. Ref [4,25]. NOTE: matches Caskey DP-1643 Table 3 annealed 304L; the condition is annealed, not HERF."
YOUNES13-EB-110,S6,Younes 2013,304L EB weld,,300-series (304 type),weld,yes,weld metal,laser,,,gaseous precharge,,110.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.61,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L EB weld, 110 wppm hydrogen, RA loss 39%."
YOUNES13-EB-160,S6,Younes 2013,304L EB weld,,300-series (304 type),weld,yes,weld metal,laser,,,gaseous precharge,,160.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.49,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L EB weld, 160 wppm hydrogen, RA loss 51%."
YOUNES13-EB-57,S6,Younes 2013,304L EB weld,,300-series (304 type),weld,yes,weld metal,laser,,,gaseous precharge,,57.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.8,moderate loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L EB weld, 57 wppm hydrogen, RA loss 20%."
YOUNES13-TIG-110,S6,Younes 2013,304L TIG weld,,300-series (304 type),weld,yes,weld metal,GTAW,,,gaseous precharge,,110.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.47,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L TIG weld, 110 wppm hydrogen, RA loss 53%."
YOUNES13-TIG-160,S6,Younes 2013,304L TIG weld,,300-series (304 type),weld,yes,weld metal,GTAW,,,gaseous precharge,,160.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.35,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L TIG weld, 160 wppm hydrogen, RA loss 65%."
YOUNES13-TIG-57,S6,Younes 2013,304L TIG weld,,300-series (304 type),weld,yes,weld metal,GTAW,,,gaseous precharge,,57.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.59,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L TIG weld, 57 wppm hydrogen, RA loss 41%."
YOUNES13-BASE-110,S6,Younes 2013,304L base metal,,300-series (304 type),tube,no,base metal,,,,gaseous precharge,,110.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.63,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L base metal, 110 wppm hydrogen, RA loss 37%."
YOUNES13-BASE-160,S6,Younes 2013,304L base metal,,300-series (304 type),tube,no,base metal,,,,gaseous precharge,,160.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.52,significant loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L base metal, 160 wppm hydrogen, RA loss 48%."
YOUNES13-BASE-57,S6,Younes 2013,304L base metal,,300-series (304 type),tube,no,base metal,,,,gaseous precharge,,57.0,,295.0,21.9,,tensile,reduction of area,uncharged,,,0.81,moderate loss,,relative_ratio,no,"Younes et al., Int. J. Hydrogen Energy 38 (2013) 4864. Table 4. 304L tube, thermally charged in hydrogen gas to the stated content; RA loss reported rather than absolute values, so relative_ratio = 1 - loss/100. 304L base metal, 57 wppm hydrogen, RA loss 19%."
BALCH15-LONG-CENTER-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,44.0,28.0,0.636,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, center of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-LONG-CENTER-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,78.0,34.0,0.436,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, center of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-LONG-ROOT-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,38.0,21.0,0.553,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, root of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-LONG-ROOT-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,78.0,28.0,0.359,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, root of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-LONG-TOP-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,56.0,28.0,0.5,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, top of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-LONG-TOP-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,77.0,40.0,0.519,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; longitudinal orientation, top of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-CENTER-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,43.0,24.0,0.558,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, center of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-CENTER-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,80.0,34.0,0.425,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, center of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-ROOT-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,38.0,24.0,0.632,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, root of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-ROOT-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,83.0,41.0,0.494,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, root of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-TOP-EL,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,elongation,uncharged,54.0,33.0,0.611,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, top of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
BALCH15-TRAN-TOP-RA,S3,Balch 2015,304L/308L weld,,300-series (304 type),weld,yes,weld metal,GTAW,ER308L,,gaseous precharge,138.0,139.0,336.0,295.0,21.9,0.00076,tensile,reduction of area,uncharged,82.0,38.0,0.463,significant loss,26.49,ni_equivalent;relative_ratio,yes,"Balch et al. PVP2015-45591 Table 3. Multipass GTA weld, gage section 100% weld deposit; transverse orientation, top of weld. Precharged 300 C, 138 MPa H2, 2 weeks -> 7700 appm (about 139 wt ppm). Composition is the 308L filler wire; 304L base metal 19.25Cr-10.25Ni."
SAND-2101-T431-W1-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,elongation,air,23.0,23.0,1.0,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. external 69 MPa H2, no precharge"
SAND-2101-T431-W1-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,69.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,54.0,0.844,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. external 69 MPa H2, no precharge"
SAND-2101-T431-W2-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,elongation,air,23.0,19.0,0.826,moderate loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. external 172 MPa H2, no precharge"
SAND-2101-T431-W2-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous in-situ,172.0,,,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,48.0,0.75,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. external 172 MPa H2, no precharge"
SAND-2101-T431-W3-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,23.0,17.0,0.739,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 24 MPa H2 473 K 240 h (45-4 wppm), tested in air"
SAND-2101-T431-W3-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,44.0,0.688,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 24 MPa H2 473 K 240 h (45-4 wppm), tested in air"
SAND-2101-T431-W4-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,69.0,45.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,23.0,16.0,0.696,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 24 MPa, tested in 69 MPa H2"
SAND-2101-T431-W4-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,69.0,45.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,41.0,0.641,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 24 MPa, tested in 69 MPa H2"
SAND-2101-T431-W5-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,23.0,13.0,0.565,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 69 MPa H2 473 K 240 h (72-7 wppm), tested in air"
SAND-2101-T431-W5-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,0.1,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,34.0,0.531,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 69 MPa H2 473 K 240 h (72-7 wppm), tested in air"
SAND-2101-T431-W6-EL,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,elongation,air,23.0,12.0,0.522,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 69 MPa, tested in 172 MPa H2"
SAND-2101-T431-W6-RA,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,,gaseous precharge,172.0,72.0,240.0,295.0,21.9,0.00033,tensile,reduction of area,air,64.0,31.0,0.484,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.1. 304L HERF back-extrusion, double-J groove, 8-10 GTA passes, 308L filler; gauge contains base metal, HAZ and fusion zone. Ref [20,21]. precharged 69 MPa, tested in 172 MPa H2"
SAND-2101-T432-FN47,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,4.7,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,air,40.0,14.0,0.35,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.2. Notched (V-notch, 45 deg, 3.95 mm min dia, 1.3 mm root radius) composite GTA weld, external 69 MPa H2 vs air. Ref [20]. Ferrite number 4.7."
SAND-2101-T432-FN85,S2,San Marchi 2012,304L/308L weld,,300-series (304 type),weld,yes,whole joint,GTAW,ER308L,8.5,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,air,40.0,17.0,0.425,significant loss,,relative_ratio,no,"SAND2012-7321 chapter 2101 Table 4.3.2. Notched (V-notch, 45 deg, 3.95 mm min dia, 1.3 mm root radius) composite GTA weld, external 69 MPa H2 vs air. Ref [20]. Ferrite number 8.5."
SAND-2101-T3111-6,S2,San Marchi 2012,304LN,O76N,300-series (304 type),plate,no,base metal,,,,gaseous precharge,69.0,55.0,240.0,295.0,21.9,0.003,tensile,reduction of area,air,72.0,54.0,0.75,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Nitrogen-bearing 304LN, annealed plate. Ref [5]."
SAND-2101-T3111-7,S2,San Marchi 2012,304N,,300-series (304 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,74.0,54.0,0.73,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Ref [25]."
SAND-2101-T3111-8,S2,San Marchi 2012,304N,C83N,300-series (304 type),unknown,no,base metal,,,,gaseous precharge,69.0,,1000.0,295.0,21.9,,tensile,reduction of area,air,65.0,46.0,0.708,significant loss,,relative_ratio,no,"SAND2012-7321 (San Marchi & Somerday), chapter 2101 Table 3.1.1.1. Precharged 69 MPa H2, 430 K, 1000 h. Ref [3]."
SAND-2103-1,S2,San Marchi 2012,316,,300-series (316/317 type),unknown,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,,tensile,reduction of area,helium,78.0,77.0,0.987,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 3.1.1.1. Ref [1,27]."
SAND-2103-2,S2,San Marchi 2012,316,W69,300-series (316/317 type),bar,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,0.00067,tensile,reduction of area,helium,72.0,75.0,1.042,no measurable loss,,relative_ratio,no,"SAND2012-7321 chapter 2103 Table 3.1.1.1. Cold drawn rod; no loss. Ref [26,28]."
SAND-2103-3,S2,San Marchi 2012,316,O76,300-series (316/317 type),plate,no,base metal,,,,gaseous in-situ,69.0,,,295.0,21.9,0.003,tensile,reduction of area,air,78.0,77.0,0.987,no measurable loss,,relative_ratio,no,SAND2012-7321 chapter 2103 Table 3.1.1.1. Annealed plate. Ref [2].
